,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,yulara,-25.24,130.99,66.2,88,90,10.29,AU,1601315374
88,palmer,42.16,-72.33,80.01,61,75,6.93,US,1601315300
89,xining,36.62,101.77,51.87,67,98,2.91,CN,1601315374
90,chokurdakh,70.63,147.92,41.07,70,55,6.35,RU,1601315374
91,craigieburn,-37.6,144.95,41.0,93,5,6.93,AU,1601315374
92,korla,41.76,86.15,60.94,32,34,4.68,CN,1601315216
93,puerto ayora,-0.74,-90.35,75.2,64,40,12.75,EC,1601315374
94,pacific grove,36.62,-121.92,69.8,56,1,3.56,US,1601315375
95,torbay,47.67,-52.73,69.01,88,75,24.16,CA,1601315375
96,onega,63.91,38.14,49.84,85,12,6.15,RU,1601315375
97,jalu,29.03,21.55,92.5,15,0,9.55,LY,1601315375
98,zhangye,38.93,100.45,59.22,54,12,5.5,CN,1601315375
99,salalah,17.02,54.09,80.6,78,82,8.05,OM,1601315375
100,milos,36.75,24.43,78.8,69,44,10.29,GR,1601315376
101,luena,-11.78,19.92,76.28,48,77,3.13,AO,1601315376
102,ponta delgada,37.73,-25.67,73.4,78,20,13.87,PT,1601315376
103,vestmannaeyjar,63.44,-20.27,44.6,81,75,16.11,IS,1601315090
104,barrow,71.29,-156.79,30.2,86,75,9.17,US,1601315376
105,paita,-5.09,-81.11,73.4,69,34,12.75,PE,1601315376
106,khatanga,71.97,102.5,30.65,96,100,13.8,RU,1601315376
107,port blair,11.67,92.75,79.34,84,100,16.64,IN,1601315256
108,halifax,44.65,-63.57,73.99,89,57,5.99,CA,1601315252
109,grajau,-5.82,-46.14,102.63,19,41,7.14,BR,1601315243
110,butaritari,3.07,172.79,81.55,74,91,13.67,KI,1601315377
111,san cristobal,7.77,-72.22,95.0,34,40,12.75,VE,1601315377
112,port hedland,-20.32,118.57,68.0,94,69,5.82,AU,1601315377
113,waingapu,-9.66,120.26,79.39,69,3,5.57,ID,1601315377
114,severo-kurilsk,50.68,156.12,51.17,90,99,19.91,RU,1601315187
